,sentence,sentiment_values
0,"In gleefully , thumpingly hyperbolic terms , it covers just about every cliche in the compendium about crass , jaded movie types and the phony baloney movie biz .",2
1,These people would n't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .,0
2,"A grittily beautiful film that looks , sounds , and feels more like an extended , open-ended poem than a traditionally structured story .",3
3,No more .,1
4,"Although ... visually striking and slickly staged , it 's also cold , grey , antiseptic and emotionally desiccated .",1
5,"Things really get weird , though not particularly scary : the movie is all portent and no content .",1
6,A live-wire film that never loses its ability to shock and amaze .,4
7,Or Tom Green as Han Solo ?,2
8,Has all the depth of a wading pool .,0
9,"an 83 minute document of a project which started in a muddle , seesawed back and forth between controlling interests multiple times , then found its sweet spot",2
10,"A thoughtful , moving piece that faces difficult issues with honesty and beauty .",3
11,"For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .",4
12,"As warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",4
13,A complete waste of time .,1
14,"Safe Conduct , however ambitious and well-intentioned , fails to hit the entertainment bull 's - eye .",1
15,Fudges fact and fancy with such confidence that we feel as if we 're seeing something purer than the real thing .,4
16,It 's a fun adventure movie for kids ( of all ages ) that like adventure .,4
17,Sex is one of those films that aims to confuse .,1
18,"Occasionally funny , always very colorful and enjoyably overblown in the traditional Almodovar style .",4
19,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",4
20,"Though the controversial Korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding .",3
21,"Who knows , but it works under the direction of Kevin Reynolds .",3
22,It 's just plain lurid when it is n't downright silly .,1
23,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",4
24,Yakusho and Shimizu ... create engaging characterizations in Imamura 's lively and enjoyable cultural mix .,4
25,"The result puts a human face on Derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less .",3
26,Michele is a such a brainless flibbertigibbet that it 's hard to take her spiritual quest at all seriously .,1
27,"An incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks .",3
28,"An empty exercise , a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance .",1
29,One of the best movies of the year .,4
30,"When you think you 've figured out Bielinsky 's great game , that 's when you 're in the most trouble : He 's the con , and you 're just the mark .",2
31,Starts as an intense political and psychological thriller but is sabotaged by ticking time bombs and other Hollywood-action cliches .,0
32,"First good , then bothersome .",1
33,There is so much plodding sensitivity .,2
34,"A very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",0
35,"If you do n't ... well , skip to another review .",2
36,"Not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy Hollywood at its laziest .",0
37,I 'm left slightly disappointed that it did n't .,1
38,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire , it probably would look a lot like this alarming production , adapted from Anne Rice 's novel The Vampire Chronicles .",2
39,"This is very much of a mixed bag , with enough negatives to outweigh the positives .",1
40,"Expanded to 65 minutes for theatrical release , it still feels somewhat unfinished .",2
41,"What makes Barbershop so likable , with all its flaws , is that it has none of the pushiness and decibel volume of most contemporary comedies .",3
42,"In my opinion , Analyze That is not as funny or entertaining as Analyze This , but it is a respectable sequel .",2
43,The film virtually chokes on its own self-consciousness .,2
44,Witless but watchable .,2
45,An awkwardly contrived exercise in magic realism .,1
46,"It 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way .",1
47,"It was filled with shootings , beatings , and more cussing than you could shake a stick at .",2
48,There has been a string of ensemble cast romances recently ... but Peter Mattei 's Love in the Time of Money sets itself apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note .,3
49,"( Drumline ) is entertaining for what it does , and admirable for what it does n't do .",3
50,"... with the gifted Pearce on hand to keep things on semi-stable ground dramatically , this retooled Machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself .",4
51,There are just too many characters saying too many clever things and getting into too many pointless situations .,1
52,This is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action .,1
53,"This is a remake by the numbers , linking a halfwit plot to a series of standup routines in which Wilson and Murphy show how funny they could have been in a more ambitious movie .",1
54,Now it 's just tired .,1
55,"In my own very humble opinion , In Praise of Love lacks even the most fragmented charms I have found in almost all of his previous works .",0
56,A wonderful character-based comedy .,4
57,Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran 's borderlands .,3
58,"( Allen 's ) been making piffle for a long while , and Hollywood Ending may be his way of saying that piffle is all that the airhead movie business deserves from him right now .",2
